article_id,prod_name,product_type_name,product_group_name
265071034,KRISTOFF Basic jersey polo BB,T-shirt,Garment Upper body
266873009,Micro 2p minishaftless,Socks,Socks & Tights
266875014,Sportsneaker 3p socks,Socks,Socks & Tights
266875022,Sportsneaker 3p socks,Socks,Socks & Tights
268450035,LIAM 2-pack tanktop SB,Vest top,Garment Upper body
268450036,LIAM 2-pack tanktop SB,Vest top,Garment Upper body
269342026,Tina NT s/s,Top,Garment Upper body
270375005,Sandra squared,Sunglasses,Accessories
270381007,Clubba sunglasses,Sunglasses,Accessories
270382001,Burnie sunglasses,Sunglasses,Accessories
272591028,Lena Rib Dress (1),Dress,Garment Full body
272591029,Lena Rib Dress (1),Dress,Garment Full body
276242022,Dress LS Basic,Dress,Garment Full body
276242023,Dress LS Basic,Dress,Garment Full body
277738011,Basic overall,Jumpsuit/Playsuit,Garment Full body
278038005,LORA,Leggings/Tights,Garment Lower body
278038035,LORA,Leggings/Tights,Garment Lower body
278811002,Hilly Biker 2pk LT,Underwear bottom,Underwear
278811007,Hilly Biker 2pk LT,Underwear bottom,Underwear
278811009,Hilly Biker 2pk HW LS,Underwear bottom,Underwear
278811011,Hilly Biker 2pk HW LS,Underwear bottom,Underwear
280256001,Mirage Push,Bra,Underwear
282832012,Kevin softshell jacket,Jacket,Garment Upper body
283937018,MASOLO PJ LONG LEG 14.99,Pyjama set,Nightwear
283937019,MASOLO PJ LONG LEG 14.99,Pyjama set,Nightwear
285602012,SS body with collar,Bodysuit,Garment Upper body
287645029,Microtights 2pk SG,Underwear Tights,Socks & Tights
288825019,2-p Babsan tights BG,Underwear Tights,Socks & Tights
288825021,Babsan 2-p tights BG,Underwear Tights,Socks & Tights
288859004,Kakan 2-p cableknit BG,Underwear Tights,Socks & Tights
288859018,Kakan 2-p cableknit BG,Underwear Tights,Socks & Tights
288859020,Kakan 2-p cableknit BG,Underwear Tights,Socks & Tights
290519008,Basic co/fl cardigan,Cardigan,Garment Upper body
290519019,Basic co/fl cardigan,Cardigan,Garment Upper body
290519024,Co/fl cardigan,Cardigan,Garment Upper body
290675006,Coyote padded vest,Jacket,Garment Upper body
291333007,2-p Keri,Underwear Tights,Socks & Tights
291333018,2-p Keri tights SG,Underwear Tights,Socks & Tights
291333021,2-p Keri tights SG,Underwear Tights,Socks & Tights
291338012,2-p Pelin pointelle,Underwear Tights,Socks & Tights
291338014,2-p Pelin pointelle,Underwear Tights,Socks & Tights
291338020,2-p Pelin pointelle,Underwear Tights,Socks & Tights
291957009,Chelsea welldressed trouser,Trousers,Garment Lower body
292453011,Flirty Chantal earring,Earring,Accessories
292453013,Flirty Chantal earring,Earring,Accessories
292453034,Flirty Chantal earring,Earring,Accessories
293244002,Micro 2pk tights BG,Underwear Tights,Socks & Tights
293433022,2-p basic cotton tights SG,Underwear Tights,Socks & Tights
293433027,Basic 2pk tights SG,Underwear Tights,Socks & Tights
293433042,2-p basic cotton tights SG,Underwear Tights,Socks & Tights
293433045,2-p basic cotton tights SG,Underwear Tights,Socks & Tights
293433046,Basic 2pk tights SG,Underwear Tights,Socks & Tights
293433049,Basic 2pk tights SG,Underwear Tights,Socks & Tights
293433055,Basic 2pk tights SG,Underwear Tights,Socks & Tights
293510002,Basic 2PACK tights YG,Underwear Tights,Socks & Tights
296366006,Flirty Fiffi flower headband,Hair/alice band,Accessories
296366024,Flirty Fiffi flower headband,Hair/alice band,Accessories
296476008,DIVA ROBE,Robe,Underwear
296476012,DIVA ROBE,Robe,Underwear
296476022,DIVA ROBE,Robe,Underwear
297078008,Heavy Chain 1p Tights,Leggings/Tights,Garment Lower body
297791002,Thigh High 1p Overknee,Socks,Socks & Tights
299841003,Haakan,Gloves,Accessories
300024045,Super skinny denim,Trousers,Garment Lower body
300024047,Superskinny,Trousers,Garment Lower body
300908002,Freja Coat,Jacket,Garment Upper body
300908009,Freja Coat,Jacket,Garment Upper body
301213011,Tilda clean padded bra (1),Bra,Underwear
301213013,Tilda clean padded bra (1),Bra,Underwear
301213014,Tilda clean padded bra (1),Bra,Underwear
301227002,10pk basic R socks,Socks,Socks & Tights
301227017,10pk regular,Socks,Socks & Tights
301668004,Elly tights,Underwear Tights,Socks & Tights
301687013,Lurex tights Bg,Underwear Tights,Socks & Tights
302311024,Wales sweater,Sweater,Garment Upper body
302334003,Sebastian braided belt,Belt,Accessories
304778010,Cosy 1p Lounge sock,Socks,Socks & Tights
305304019,Boy Denim Shorts,Shorts,Garment Lower body
305304020,Boy Denim Shorts,Shorts,Garment Lower body
305775032,Lurex tights SG,Underwear Tights,Socks & Tights
306307019,Lima ss,T-shirt,Garment Upper body
306307076,Lima ss,T-shirt,Garment Upper body
306847007,HONEY 2-P LEGGINGS,Leggings/Tights,Garment Lower body
306847008,HONEY 2-P LEGGINGS,Leggings/Tights,Garment Lower body
307239004,Hilly Brief 2pk LT,Underwear bottom,Underwear
307656018,Maria Shorts,Shorts,Garment Lower body
307656029,Maria Shorts,Shorts,Garment Lower body
308154005,LS Body with collar,Bodysuit,Garment Upper body
309434011,COSY COTTON FLEECE ROBE,Robe,Underwear
309864013,Skinny Cheapo 89,Trousers,Garment Lower body
309864014,Skinny Cheapo 89 (1),Trousers,Garment Lower body
309864016,Skinny Cheapo 89,Trousers,Garment Lower body
310091014,3P LS PJ with feet,Pyjama jumpsuit/playsuit,Nightwear
310091017,3P LS PJ with feet,Pyjama jumpsuit/playsuit,Nightwear
310091018,3P LS PJ with feet,Pyjama jumpsuit/playsuit,Nightwear
310091025,3P LS PJ feet,Pyjama jumpsuit/playsuit,Nightwear
310091041,3P LS PJ feet w zip,Pyjama jumpsuit/playsuit,Nightwear
310091042,3P LS PJ feet w zip,Pyjama jumpsuit/playsuit,Nightwear
310365019,RENEE REVERSABLE SCARF,Scarf,Accessories
311059018,BEN fancy crewneck SB,Sweater,Garment Upper body
311059028,BEN fancy crewneck SB,Sweater,Garment Upper body
312058003,SS body girly with collar,Bodysuit,Garment Upper body
312878001,Pablo coat,Coat,Garment Upper body
315352006,Edit dress (1),Dress,Garment Full body
315497001,Beanie Otto,Hat/beanie,Accessories
315497018,Otto Beanie,Hat/beanie,Accessories
315509001,Scarf Wolf,Scarf,Accessories
315795005,Braces Tweed 3-Clip,Other accessories,Accessories
315987003,Pierre Beanie,Hat/beanie,Accessories
315987004,Pierre Beanie,Hat/beanie,Accessories
316441008,Lee,Top,Garment Upper body
316441015,Lee,Top,Garment Upper body
316441024,Lee (1),Top,Garment Upper body
316441034,Lee (1),Top,Garment Upper body
316553025,Washington dress,Dress,Garment Full body
316553026,Washington dress,Dress,Garment Full body
318035023,Classic Clear umbrella,Umbrella,Accessories
318066006,KIMBERLY Braided Headband,Hat/beanie,Accessories
318066013,KIMBERLY Braided Headband,Hat/beanie,Accessories
318238001,Braces Frank 3-Clip,Other accessories,Accessories
318914012,Basic cotton fleece leggings,Trousers,Garment Lower body
318914019,Basic cotton fleece leggings,Trousers,Garment Lower body
318951019,Basic LS t-shirt,T-shirt,Garment Upper body
318951020,Basic LS t-shirt,T-shirt,Garment Upper body
318951025,Basic LS t-shirt,T-shirt,Garment Upper body
318951026,Basic LS t-shirt,T-shirt,Garment Upper body
321249006,Xmas Bauble 1p Socks,Socks,Socks & Tights
321591012,Stefan Scarf,Scarf,Accessories
322017015,Mini Umbrella,Umbrella,Accessories
322017029,Mini Umbrella,Umbrella,Accessories
322017038,Mini Umbrella,Umbrella,Accessories
322322014,Beanie Pelle wool mix,Hat/beanie,Accessories
324502008,Hawlin Headband,Hat/beanie,Accessories
324502019,Hawlin Headband,Hat/beanie,Accessories
324963040,Classic PU sunglasscase,Other accessories,Accessories
324963051,Classic PU sunglasscase,Other accessories,Accessories
325087018,Kelly (Melbourne) PUSH 2p,Bra,Underwear
325087036,Kelly (Melbourne) PUSH 2p,Bra,Underwear
326885027,MAX jersey pants SB,Trousers,Garment Lower body
326885030,MAX jersey pants SB,Trousers,Garment Lower body
326885032,MAX jersey pants SB,Trousers,Garment Lower body
326885046,TP MAX jersey pants SB,Trousers,Garment Lower body
326885049,TP MAX jersey pants SB,Trousers,Garment Lower body
326885050,TP MAX jersey pants SB,Trousers,Garment Lower body
326885051,TP MAX jersey pants SB,Trousers,Garment Lower body
326885054,MAX jersey pants SB,Trousers,Garment Lower body
327144031,Rally 2p tights,Underwear Tights,Socks & Tights
327144032,Rally 2p tights,Underwear Tights,Socks & Tights
327144033,Rally 2p tights,Underwear Tights,Socks & Tights
327310001,Alicia wrap skirt,Skirt,Garment Lower body
327310002,Alicia wrap skirt,Skirt,Garment Lower body
327310014,Alicia wrap skirt,Skirt,Garment Lower body
327310015,Alicia wrap skirt,Skirt,Garment Lower body
327310016,Alicia wrap skirt,Skirt,Garment Lower body
327821005,MALAGA 2-P,Leggings/Tights,Garment Lower body
327821030,MALAGA 2-P,Leggings/Tights,Garment Lower body
331062008,Christmas pyjama (1),Pyjama jumpsuit/playsuit,Nightwear
331072005,Kobe Low Chelsea Boot,Boots,Shoes
331474015,JOEL Fancy sweatpants SB,Trousers,Garment Lower body
331474022,TP JOEL fancy sweatpant SB,Trousers,Garment Lower body
331474024,JOEL fancy sweatpant SB,Trousers,Garment Lower body
332055004,Flirty Emma takeyaway mug,Other accessories,Accessories
333323008,Basic rolltops 3-pack,Socks,Socks & Tights
335896020,Salamander L/S,T-shirt,Garment Upper body
336125002,SOLID PONCHO,Scarf,Accessories
337777004,Easy iron L/S shirt  TP,Shirt,Garment Upper body
338016009,Basic Rollerbuckle belt,Belt,Accessories
339252007,Hat Fredrik Paper Straw,Hat/brim,Accessories
339252009,Hat Fredrik Paper Straw,Hat/brim,Accessories
341129001,Mama Support 70 den 1p Tights,Underwear Tights,Socks & Tights
341186001,Bare legs Support,Underwear Tights,Socks & Tights
341242009,Dave waistcoat,Tailored Waistcoat,Garment Upper body
341242012,Dave waistcoat,Tailored Waistcoat,Garment Upper body
341242013,Dave waistcoat,Tailored Waistcoat,Garment Upper body
341242026,Dave waistcoat,Tailored Waistcoat,Garment Upper body
341782034,RILEY T-SHIRT,T-shirt,Garment Upper body
341909036,REBECCA basic tanktop,Vest top,Garment Upper body
341909049,REBECCA basic tanktop,Vest top,Garment Upper body
342345025,3P LS PJ,Pyjama jumpsuit/playsuit,Nightwear
344534010,Gwen,Top,Garment Upper body
344625009,ELLEN Sunhat,Hat/brim,Accessories
344956009,Flirty Romi waterbottle,Other accessories,Accessories
345830029,2PACK Tanktop body girly,Bodysuit,Garment Upper body
345830036,2P Tanktop body girly,Bodysuit,Garment Upper body
345922011,Erling Necktube,Scarf,Accessories
346539014,Pattern 5p Socks,Socks,Socks & Tights
346539021,Pattern 5p Socks,Socks,Socks & Tights
347975001,2PACK SS Body TVP,Bodysuit,Garment Upper body
348330031,Tanktop body Mixed 2p,Bodysuit,Garment Upper body
348330042,2P Tanktop body Mixed,Bodysuit,Garment Upper body
348442015,Gilberto top,Top,Garment Upper body
348870006,Mary Kate L/S,T-shirt,Garment Upper body
348870008,Mary Kate L/S,T-shirt,Garment Upper body
349080001,Block 1p Overknee,Underwear Tights,Socks & Tights
349301010,GLASSIG ESPADRILLE,Ballerinas,Shoes
349301024,GLASSIG ESPADRILLE,Ballerinas,Shoes
349301030,GLASSIG ESPADRILLE,Ballerinas,Shoes
349301047,GLASSIG ESPADRILLE,Ballerinas,Shoes
350135017,Basic jersey pant 1x1rib,Trousers,Garment Lower body
350135018,Basic jersey pant 1x1rib,Trousers,Garment Lower body
350911002,Bowtie Kalle,Tie,Accessories
350911009,Bowtie Kalle,Tie,Accessories
350911012,Bowtie Kalle,Tie,Accessories
351098028,Wool Scarf Akira,Scarf,Accessories
351182003,Glove Suede,Gloves,Accessories
351462009,LAZER RAZER bandeau,Bikini top,Swimwear
351484014,LAZER RAZER brief (1),Swimwear bottom,Swimwear
351484037,Lazer Razer Brief,Swimwear bottom,Swimwear
351914028,Fred Basic (1),Underwear bottom,Underwear
351933029,Kelly Lace Padded Idro 2p,Bra,Underwear
351933046,Kelly Lace Padded Idro 2p,Bra,Underwear
352811039,Sara long (1),Trousers,Garment Lower body
354041001,Flirty New years Aliceband,Hair/alice band,Accessories
354246018,Basic LS Raglan t-shirt,T-shirt,Garment Upper body
354246021,Basic LS Raglan t-shirt,T-shirt,Garment Upper body
355072001,Anita Tank (1),Vest top,Garment Upper body
355072002,Anita Tank (1),Vest top,Garment Upper body
355072003,Anita Tank (1),Vest top,Garment Upper body
355307052,Moa tanktop,Vest top,Garment Upper body
355421004,Colette dress,Dress,Garment Full body
355569005,Nicky Long,Vest top,Garment Upper body
356289064,JESSY SKIRT,Skirt,Garment Lower body
356289065,Jessy skirt,Skirt,Garment Lower body
356289068,JESSY SKIRT,Skirt,Garment Lower body
356438015,Flirty Millie shell,Other accessories,Accessories
357130011,MIMMI,T-shirt,Garment Upper body
357751002,Basic Endless hoop,Earring,Accessories
358483006,Stressan light knit jumper,Sweater,Garment Upper body
358483007,Stressan light knit jumper,Sweater,Garment Upper body
358753001,Basic Ronaldo necklace,Necklace,Accessories
359043007,Basic cotton terry shorts,Shorts,Garment Lower body
359804013,SOFIE THIN BEANIE,Hat/beanie,Accessories
359909015,Solid Paco,Scarf,Accessories
360950007,Sunglasses Edward,Sunglasses,Accessories
361531003,Sunglasses Raymond Aviator,Sunglasses,Accessories
362219002,Mama Support 30 den 1p Tights,Underwear Tights,Socks & Tights
362931027,WAFFLE L/S CTN basic,Top,Garment Upper body
362997001,Miami tanktop,Vest top,Garment Upper body
362997008,Miami tanktop,Vest top,Garment Upper body
362997009,Miami tanktop,Vest top,Garment Upper body
362997010,Miami tanktop,Vest top,Garment Upper body
364297030,SWEATPANTS OC,Trousers,Garment Lower body
364409028,Sybil sleeping mask,Other accessories,Accessories
365102037,Urban USB cable,Other accessories,Accessories
365439048,Lawrence training sock,Socks,Socks & Tights
365439052,Lawrence training sock,Socks,Socks & Tights
366686005,Tail tee,T-shirt,Garment Upper body
366686022,Tail tee,T-shirt,Garment Upper body
366859023,Reggie chino shorts,Shorts,Garment Lower body
368038004,Biq Square Claw,Hair clip,Accessories
368300006,Rock Relaxed Shorts,Shorts,Garment Lower body
368300011,ROCK SHORTS,Shorts,Garment Lower body
368603022,ANTHEA pj,Pyjama set,Nightwear
369423004,Heart sunnies,Sunglasses,Accessories
369796032,John sunglasses,Sunglasses,Accessories
369796035,John sunglasses,Sunglasses,Accessories
370594006,Saya sunglasses,Sunglasses,Accessories
370594007,Saya sunglasses,Sunglasses,Accessories
372008011,Halter,Vest top,Garment Upper body
372860001,7p Basic Shaftless,Socks,Socks & Tights
372860069,Basic 7p Shaftless,Socks,Socks & Tights
373506001,Trainer 3p sock,Socks,Socks & Tights
373506008,Trainer 3p sock,Socks,Socks & Tights
373506018,Trainer 3p sock,Socks,Socks & Tights
373506025,Trainer 3p sock,Socks,Socks & Tights
374762001,Wilma dress (1),Dress,Garment Full body
375248009,Love leggings 2PACK,Leggings/Tights,Garment Lower body
375248012,LOVE 2-pack lace leggings,Leggings/Tights,Garment Lower body
375248024,Love leggings 2PACK-superspeed,Leggings/Tights,Garment Lower body
375917001,Hat Frank Fedora(1),Felt hat,Accessories
375917006,Hat Frank Fedora(1),Felt hat,Accessories
375917007,Hat Frank Fedora(1),Felt hat,Accessories
377277020,Svea Cropped Tank,Vest top,Garment Upper body
377277024,Svea Cropped Tank,Vest top,Garment Upper body
377277027,Svea Cropped Tank,Vest top,Garment Upper body
377277033,Svea Cropped Tank,Vest top,Garment Upper body
377277035,Svea Cropped Tank,Vest top,Garment Upper body
377277036,Svea Cropped Tank,Vest top,Garment Upper body
377277037,Svea Cropped Tank,Vest top,Garment Upper body
378124007,L/S Polo Gnocci TVP,Polo shirt,Garment Upper body
378124013,L/S Polo Gnocci,Polo shirt,Garment Upper body
378135002,R-Neck Merino Pisa,Sweater,Garment Upper body
378135003,R-Neck Pisa TVP R,Sweater,Garment Upper body
378135026,R-Neck Merino Pisa,Sweater,Garment Upper body
378135029,R-Neck Pisa TVP R,Sweater,Garment Upper body
378447030,V-Neck Milan TVP,Sweater,Garment Upper body
378447036,V-Neck Milan TVP,Sweater,Garment Upper body
378447050,V-Neck Milan TVP,Sweater,Garment Upper body
378447055,V-Neck Milan TVP,Sweater,Garment Upper body
379360015,MAXI 2 pack,Leggings/Tights,Garment Lower body
379360033,MAXI 2 pack,Leggings/Tights,Garment Lower body
379360034,MAXI 2 pack,Leggings/Tights,Garment Lower body
379360052,MAXI 2 pack,Leggings/Tights,Garment Lower body
379780039,Rita Ringer Tee,T-shirt,Garment Upper body
379780045,Rita Ringer Tee,T-shirt,Garment Upper body
380609001,Livia Top,T-shirt,Garment Upper body
381038025,Cori cropped hood,Hoodie,Garment Upper body
381038033,Cori cropped hood,Hoodie,Garment Upper body
382127027,Roman running hood,Hoodie,Garment Upper body
384482001,Godfather slim chino,Trousers,Garment Lower body
384482002,Godfather slim chino,Trousers,Garment Lower body
384654011,Wanda Dress,Dress,Garment Full body
384654021,Wanda Dress (1),Dress,Garment Full body
386681013,Mini cross bag,Bag,Accessories
386695004,Penny leather cross,Bag,Accessories
386859019,T-Shirt Allington R-neck,T-shirt,Garment Upper body
386859029,T-Shirt Allington R-neck!,T-shirt,Garment Upper body
387348018,Thales printed tanktop,Vest top,Garment Upper body
387348021,Thales printed tanktop,Vest top,Garment Upper body
387348023,Thales printed tanktop,Vest top,Garment Upper body
387348030,Thales printed tanktop,Vest top,Garment Upper body
387426012,Goodman light shorts,Shorts,Garment Lower body
387843037,Richie Regular Hood,Hoodie,Garment Upper body
389479007,Iwa Nightslip (J),Night gown,Nightwear
390469005,Meadow Push Bonny,Bra,Underwear
390469006,Meadow Push Bonny,Bra,Underwear
390512011,Haddock Beanie,Hat/beanie,Accessories
390531007,Sian Headband,Hat/beanie,Accessories
391032007,Cap Eazy Badge,Cap/peaked,Accessories
391032010,Eazy Badge Cap,Cap/peaked,Accessories
391032011,Eazy Badge Cap,Cap/peaked,Accessories
391750013,Manson trs,Trousers,Garment Lower body
391750015,Manson trs,Trousers,Garment Lower body
392126003,Claesson Leather Weekend,Bag,Accessories
392168001,Lilly Twill Shorts,Shorts,Garment Lower body
392269009,CORBY TANK,Vest top,Garment Upper body
392269012,CORBY TANK,Vest top,Garment Upper body
392938024,TD Hugo Stretch,Shirt,Garment Upper body
393750002,Agnes polo,Sweater,Garment Upper body
393772011,Sonny Pants.,Trousers,Garment Lower body
394292006,Sunglasses Morris,Sunglasses,Accessories
394292008,Sunglasses Morris,Sunglasses,Accessories
394803011,Asteria Tank,Vest top,Garment Upper body
395127001,CA Gustavsberg TVP,Shirt,Garment Upper body
395127006,CA Gustavsberg TVP,Shirt,Garment Upper body
395127012,CA Gustavsberg TVP,Shirt,Garment Upper body
395127040,CA Gustavsberg,Shirt,Garment Upper body
395619009,Malcolm Skinny 5 pocket,Trousers,Garment Lower body
395619012,Malcolm Skinny 5 pocket,Trousers,Garment Lower body
395658025,MIA,Trousers,Garment Lower body
395658034,MIA,Trousers,Garment Lower body
395658042,MIA (1),Trousers,Garment Lower body
395658050,MIA (1),Trousers,Garment Lower body
395658051,MIA (1),Trousers,Garment Lower body
395730029,MUMS (1),Polo shirt,Garment Upper body
395730045,VIOLA 2-pack (TVP),Polo shirt,Garment Upper body
395864036,RAKEL 3p,Underwear bottom,Underwear
395864060,RAKEL 3p,Underwear bottom,Underwear
395864065,RAKEL 3p,Underwear bottom,Underwear
396135007,Glamping,Shorts,Garment Lower body
396135023,Glamping,Shorts,Garment Lower body
396135045,Glamping,Shorts,Garment Lower body
396135046,Glamping,Shorts,Garment Lower body
397068032,Skinny L.W Bargain (1),Trousers,Garment Lower body
398074069,Sara 3/4,T-shirt,Garment Upper body
398089004,Shorts R.W Bargain,Shorts,Garment Lower body
398829007,Shelly Wide Shorts,Shorts,Garment Lower body
398863005,Wave shorts,Shorts,Garment Lower body
398863007,Wave shorts,Shorts,Garment Lower body
398947001,Astrid round sunglasses,Sunglasses,Accessories
399036012,Vera sweater,Sweater,Garment Upper body
399061008,Jacket Slim,Jacket,Garment Upper body
399061015,Jacket Slim,Jacket,Garment Upper body
399061018,Jacket Slim,Jacket,Garment Upper body
399061023,Jacket Slim (1),Jacket,Garment Upper body
399087021,S.Skinny L.W Epic,Trousers,Garment Lower body
399087030,S.Skinny L.W Epic,Trousers,Garment Lower body
399136033,Shaping Skinny R.W.,Trousers,Garment Lower body
399136060,Shaping Skinny R.W,Trousers,Garment Lower body
399201002,Shaping Skinny H.W,Trousers,Garment Lower body
399201011,Shaping Skinny H.W,Trousers,Garment Lower body
399201024,Shaping Skinny H.W,Trousers,Garment Lower body
399201045,Shaping Skinny H.W,Trousers,Garment Lower body
399223001,Curvy Jeggings HW Ankle,Trousers,Garment Lower body
399223004,Jeggings H.W,Trousers,Garment Lower body
399223029,Curvy Jeggings HW Ankle,Trousers,Garment Lower body
399223030,Jeggings H.W,Trousers,Garment Lower body
